"run","start_time_min","end_time_min","jar_mass_g","jar_and_sample_mass_g","sample_mass_g","slope","surface","rainfall","replicate","raw_mass_g","condition","cumulative_mass_g"
46,25,30,2.47771,2.48135,0.00169,15,"concrete","high",2,0.00363999999999987,12,0.7711
47,0,5,2.49628,3.16344,0.66591,15,"concrete","high",3,0.66716,12,0.66591
47,5,10,2.48512,2.55656,0.07019,15,"concrete","high",3,0.07144,12,0.7361
47,10,15,2.48221,2.5094,0.02594,15,"concrete","high",3,0.02719,12,0.76204
47,15,20,2.49605,2.50739,0.01009,15,"concrete","high",3,0.0113400000000001,12,0.77213
47,20,25,2.4847,2.49084,0.00489,15,"concrete","high",3,0.00613999999999981,12,0.77702
47,25,30,2.47497,2.48075,0.00453,15,"concrete","high",3,0.00578000000000012,12,0.78155
48,0,5,2.56077,3.23537,0.67299,15,"concrete","high",4,0.6746,12,0.67299
48,5,10,2.58598,2.66537,0.07778,15,"concrete","high",4,0.0793899999999996,12,0.75077
48,10,15,2.55907,2.58163,0.02095,15,"concrete","high",4,0.0225599999999999,12,0.77172
48,15,20,2.50866,2.51743,0.00716,15,"concrete","high",4,0.00877000000000017,12,0.77888
48,20,25,2.50126,2.50607,0.0032,15,"concrete","high",4,0.00480999999999998,12,0.78208
48,25,30,2.50344,2.50806,0.00301,15,"concrete","high",4,0.00462000000000007,12,0.78509
49,0,5,2.47451,2.92276,0.44739,15,"concrete","med",1,0.44825,13,0.44739
49,5,10,2.45069,2.72485,0.2733,15,"concrete","med",1,0.27416,13,0.72069
49,10,15,2.56384,2.63998,0.07528,15,"concrete","med",1,0.0761400000000001,13,0.79597
49,15,20,2.54625,2.57694,0.02983,15,"concrete","med",1,0.0306899999999999,13,0.8258
49,20,25,2.56433,2.57929,0.0141,15,"concrete","med",1,0.0149599999999999,13,0.8399
49,25,30,2.57423,2.58516,0.01007,15,"concrete","med",1,0.0109300000000001,13,0.84997
50,0,5,2.56177,3.04753,0.48464,15,"concrete","med",2,0.48576,13,0.48464
